latitude,longitude,gi_star,p_value,hotspot_category,weight_sum
8.726954250780054,76.75279935083796,-0.21738533150994124,0.447,Not Significant,0.01363712
8.741419785574344,76.75286691599449,-0.3527536619953971,0.333,Not Significant,0.009812074
8.725137659936392,76.75460830919563,-0.298401163319908,0.32,Not Significant,0.017628472
8.72694585082945,76.75461675540492,-0.011660121966057355,0.395,Not Significant,0.009812074
8.737794992406329,76.7546674708393,-0.4740454132737386,0.142,Not Significant,0.01363712
8.79023241842169,76.7549135183518,0.0467888573920882,0.292,Not Significant,0.009812074
8.741402948697743,76.75650186324597,-0.1712355394674184,0.471,Not Significant,0.007816398
8.770333927085028,76.75663762292767,-0.5502223494723266,0.136,Not Significant,0.015632796
8.786607582086601,76.75671419258552,-0.39775127507823504,0.239,Not Significant,0.015632796
8.688957052649625,76.75807420421089,-0.39793162443676333,0.239,Not Significant,0.009812074
8.723312649956432,76.75823463353633,-0.09939411497689123,0.423,Not Significant,0.007816398
8.674483143967251,76.75982399817354,,0.001,Not Significant,0.023449194
